municipality_code,municipality_name,population_2024,facilities,sus_linked_facilities,sus_beds,existing_equipment,facilities_per_10k,sus_beds_per_10k,equipment_per_10k,sus_linked_share,health_spending_per_capita,personnel_spending_share_health_spending,investment_share_health_spending,transfer_share_health_spending,own_revenue_applied_asps_lc141,outpatient_records,outpatient_approved_quantity,outpatient_approved_value_brl,outpatient_quantity_per_1000,outpatient_value_per_capita_brl,primary_care_total_production_2025,primary_care_home_visit_share,primary_care_dental_share,primary_care_procedure_share,primary_care_production_per_1000,cluster,cluster_label,pc1,pc2
500020,Água Clara - MS,17647,33,10,21,157,18.700062333541112,11.90003966679889,88.96696322321075,0.30303030303030304,2652.86,73.92,3.72,31.78,24.49,21363,193436,913263.24,10961.409871366237,51.75175610585369,302846,0.5241508885704286,0.026310401986488183,0.30497348487350007,17161.33053776846,Cluster 4,Lower-density structure,0.28578197924156834,-0.7954732411895433
500025,Alcinópolis - MS,4648,17,7,22,34,36.574870912220305,47.332185886402755,73.14974182444061,0.4117647058823529,4252.7,54.1,10.64,17.51,20.95,4293,31402,85124.09999999999,6756.024096385542,18.314135111876073,72949,0.17402568918011213,0.0242086937449451,0.5227213532742052,15694.707401032701,Cluster 1,Small municipalities with high local capacity,-2.2751478179746245,-4.041762805870366
500060,Amambai - MS,41414,122,28,57,566,29.45863717583426,13.763461631332401,136.6687593567393,0.22950819672131148,1842.14,45.32,11.92,30.95,25.25,21624,177525,873981.48,4286.593905442604,21.103527309605447,467547,0.6065743123151255,0.025402793729828232,0.24144310625455837,11289.588062008017,Cluster 3,Regional hubs and dense network,1.2856904979797,-0.3445235616572509
500070,Anastácio - MS,24741,24,18,24,44,9.700497150478961,9.700497150478961,17.784244775878097,0.75,1382.72,37.2,5.49,34.61,23.38,19003,216898,1053857.87,8766.743462269109,42.59560527060346,427919,0.46316008403459535,0.034198060847964215,0.3373301956678717,17295.946000565862,Cluster 4,Lower-density structure,-0.9152668641703788,1.608429462532807
500080,Anaurilândia - MS,7735,17,9,8,100,21.978021978021978,10.342598577892696,129.2824822236587,0.5294117647058824,2152.77,51.220000000000006,2.4299999999999997,22.4,24.1,11100,103239,160278.16999999998,13346.994182288301,20.721159663865546,105404,0.7276953436302228,0.015046867291563888,0.18222268604607036,13626.89075630252,Cluster 4,Lower-density structure,-0.2724517301416474,-1.0200748883418553
500085,Angélica - MS,11203,19,8,14,63,16.95974292600196,12.496652682317237,56.23493707042756,0.42105263157894735,1985.41,44.98,5.1899999999999995,56.17,23.86,2313,39990,200597.63999999998,3569.579576899045,17.90570739980362,237158,0.5977576130680812,0.0208805943716847,0.23822093288018958,21169.15112023565,Cluster 4,Lower-density structure,0.3311908463772524,0.9138757672294702
500090,Antônio João - MS,9641,22,13,10,105,22.819209625557516,10.372368011617054,108.90986412197904,0.5909090909090909,2686.32,50.41,2.3499999999999996,27.34,40.01,8234,133574,461780.91000000003,13854.786847837362,47.89761539259413,127489,0.3967322670975535,0.026668967518766323,0.36729443324522115,13223.628254330464,Cluster 4,Lower-density structure,-0.4046304342819999,-1.656303200830938
500100,Aparecida do Taboado - MS,29446,61,17,45,195,20.715886707872038,15.28221150580724,66.2229165251647,0.2786885245901639,1868.15,34.43,5.42,36.73,26.86,54982,501017,3198795.62,17014.772804455613,108.6326027304218,525518,0.5919245392165444,0.018787177603811857,0.23385497737470456,17846.8382802418,Cluster 3,Regional hubs and dense network,1.176075261050559,0.4920578056038057
500110,Aquidauana - MS,48561,139,47,126,604,28.623792755503384,25.94674738988077,124.3796462181586,0.3381294964028777,2345.3,36.51,4.72,63.47,22.979999999999997,188259,1031696,6800268.850000001,21245.361504087643,140.0356016144643,767962,0.5484932848239887,0.03276854844380321,0.27878332521661225,15814.377792879059,Cluster 3,Regional hubs and dense network,2.1937492518383577,-0.6216737159046511
500124,Aral Moreira - MS,11085,15,14,10,27,13.531799729364007,9.021199819576003,24.357239512855212,0.9333333333333332,2696.3300000000004,1.39,4.159999999999999,30.68,30.93,940,42996,192712.72,3878.755074424899,17.38499954894001,126241,0.5278158442978114,0.03331722657456769,0.2807170412148193,11388.452864230941,Cluster 4,Lower-density structure,-2.658845149928336,0.8428675983764077
